Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	soe_mean	
koGu.mat	"1-o-short-glottal"	167.140	223.641	15.259	6.657	6.685	5.199	-0.938	12.712	18.122	8.602	-0.028	10.061	16.198	2.547	-11.438	31.584	16.710	8.866	3.881	2.911	13.642	18.328	0.155	18.109	27.482	13.187	27.458	13.738	-3.971	-4.073	-13.462	-9.373	14.295	-9.350	4.370	22.080	17.260	9.245	262.711	265.833	268.118	245.304	NaN	535.336	1140.815	2790.361	3870.046	560.209	1156.602	2879.081	4019.190	NaN	NaN	NaN	NaN	50.873	178.123	133.916	350.856	93.012	276.025	305.076	283.395	NaN	NaN	NaN	NaN	0.293	0.035	
koGu.mat	"2-u-short-glottal"	284.793	396.801	17.068	13.337	5.196	0.056	-7.718	11.390	17.821	3.731	8.141	17.012	24.786	5.678	-12.625	39.043	15.888	3.101	-0.308	9.176	20.549	24.798	0.000	18.558	20.900	10.713	23.474	8.533	-11.195	-12.278	-21.222	-2.343	10.188	-4.916	10.025	29.753	22.990	8.950	165.327	149.780	240.357	179.503	NaN	456.304	979.304	2850.503	4045.974	521.209	1684.239	3426.011	4519.622	NaN	NaN	NaN	NaN	74.978	299.591	268.042	681.286	254.975	468.979	997.953	918.451	NaN	NaN	NaN	NaN	0.168	0.063	
kou.mat	"1-o-short-modal"	258.052	498.542	13.007	15.466	7.863	7.842	-3.001	12.791	20.792	-2.459	7.603	5.165	16.008	0.216	-12.929	34.381	18.710	20.469	8.858	11.921	22.091	26.618	0.106	14.627	24.187	14.166	31.520	13.833	-4.930	-4.199	-13.589	-9.560	10.021	-16.893	0.794	19.557	18.365	9.422	188.320	188.695	190.771	191.530	NaN	518.633	1033.718	2781.886	3999.209	541.374	1098.017	2954.740	4288.895	NaN	NaN	NaN	NaN	42.515	168.780	173.315	534.077	87.113	450.162	441.072	560.473	NaN	NaN	NaN	NaN	0.289	0.056	
kou.mat	"2-u-short-modal"	498.542	660.182	10.456	11.890	5.403	4.733	-8.860	7.306	14.141	-1.433	6.487	5.723	19.316	3.151	-8.739	37.773	15.491	1.007	3.138	16.925	27.949	32.915	0.143	17.584	15.167	-2.752	19.408	-4.596	-16.309	-15.152	-23.632	2.417	17.919	-1.824	22.180	33.892	12.399	8.558	228.988	231.990	227.261	246.554	NaN	306.604	1308.291	2737.028	4301.177	392.259	1643.845	3674.422	5016.937	NaN	NaN	NaN	NaN	67.624	571.009	257.424	588.192	180.511	996.182	1166.793	1141.204	NaN	NaN	NaN	NaN	0.228	0.054	
kouL.mat	"1-o-short-modal"	183.771	371.840	15.715	15.133	13.664	7.396	2.571	14.526	21.798	0.582	1.469	8.319	13.144	1.189	-8.134	37.240	17.661	10.577	4.053	7.902	19.286	24.207	0.325	18.836	27.049	11.603	27.343	13.456	-6.083	-5.997	-15.442	-8.213	15.445	-8.507	5.380	24.919	17.600	9.344	203.402	196.972	204.571	205.840	NaN	405.101	1091.566	2739.590	3727.899	487.018	1006.602	2930.546	4375.993	NaN	NaN	NaN	NaN	160.529	209.293	157.609	650.618	134.724	287.284	387.078	1044.347	NaN	NaN	NaN	NaN	0.243	0.056	
kouL.mat	"2-u-long-modal"	371.840	664.019	17.660	17.886	8.717	10.229	1.390	17.266	25.915	-0.226	9.169	7.431	16.270	0.394	-17.198	42.275	17.621	5.994	5.656	15.743	26.837	31.956	0.272	25.044	23.689	7.540	26.704	9.973	-8.299	-7.541	-16.360	1.355	16.150	-1.660	15.071	33.343	15.081	8.844	246.788	246.760	242.935	265.657	NaN	344.032	953.788	2651.124	4198.076	401.586	925.999	2970.877	4489.588	NaN	NaN	NaN	NaN	87.471	361.128	201.973	613.599	322.641	513.116	537.993	468.085	NaN	NaN	NaN	NaN	0.246	0.080	
noGu.mat	"1-o-short-glottal"	203.659	267.468	23.627	9.552	12.391	5.536	1.704	12.438	14.641	14.075	-2.839	18.091	21.923	11.189	-2.249	31.281	18.396	6.587	4.782	10.085	17.955	21.681	0.000	26.793	25.432	8.082	25.856	11.107	-2.797	-4.662	-16.640	1.362	17.349	0.937	15.686	29.590	12.744	12.514	236.672	239.854	237.496	237.858	NaN	510.949	1350.117	2842.147	3922.325	513.987	1352.202	2866.572	3955.963	NaN	NaN	NaN	NaN	207.651	147.756	125.620	680.403	150.727	197.389	161.084	745.776	NaN	NaN	NaN	NaN	0.234	0.082	
noGu.mat	"2-u-short-glottal"	334.636	465.612	15.828	8.124	4.110	-4.209	-8.462	6.370	14.714	7.704	4.014	20.037	24.289	9.458	-10.605	38.971	15.669	1.454	-1.101	8.952	21.176	26.915	0.010	17.474	16.772	7.066	17.581	5.338	-15.467	-15.471	-24.257	0.702	9.706	-0.107	12.136	32.941	22.537	8.728	160.098	127.638	161.543	165.710	NaN	407.391	1010.448	2776.440	3864.680	490.828	1179.210	3382.518	4663.205	NaN	NaN	NaN	NaN	127.198	295.176	257.103	723.257	309.142	535.682	730.333	866.585	NaN	NaN	NaN	NaN	0.167	0.041	
noLu.mat	"1-o-long-modal"	206.389	444.834	19.190	14.765	11.508	4.420	-0.566	10.744	17.137	4.425	3.258	14.769	19.755	8.445	-5.630	33.201	19.165	7.607	9.403	11.120	21.584	26.486	0.018	20.963	22.226	15.749	27.845	15.450	-5.871	-5.680	-16.064	-1.263	6.476	-6.883	5.512	26.834	21.429	10.413	194.051	194.180	197.207	194.149	NaN	539.792	1156.249	2828.174	4002.856	537.041	1171.909	2912.769	4351.081	NaN	NaN	NaN	NaN	145.524	178.907	217.786	897.115	92.903	164.865	325.942	1053.702	NaN	NaN	NaN	NaN	0.208	0.063	
noLu.mat	"2-u-short-modal"	444.834	595.961	11.085	15.463	4.334	2.373	-11.228	6.388	17.874	-4.378	11.129	8.712	22.313	4.698	-13.540	42.229	15.915	1.871	-1.672	12.247	24.720	30.774	0.100	12.118	20.465	13.441	22.375	1.348	-16.724	-15.737	-24.355	-8.347	7.024	-10.257	10.770	28.842	29.178	8.647	110.105	106.758	111.874	150.615	NaN	351.294	956.151	2686.626	3661.342	444.202	1416.403	3652.070	5180.032	NaN	NaN	NaN	NaN	100.228	508.910	309.020	682.606	176.624	714.243	983.316	899.238	NaN	NaN	NaN	NaN	0.158	0.058	
nou.mat	"1-o-short-modal"	177.954	374.419	10.721	10.339	9.314	2.513	-5.637	2.757	9.304	0.382	1.024	8.208	16.358	7.964	0.010	30.128	19.414	2.846	12.269	15.701	25.089	30.881	0.084	12.112	17.414	13.962	25.861	8.955	-12.177	-11.046	-20.824	-5.302	3.452	-13.749	3.157	24.289	25.008	9.835	180.330	181.401	182.737	180.954	NaN	526.120	1225.698	2848.900	4000.030	565.960	1267.170	3041.528	4518.057	NaN	NaN	NaN	NaN	63.832	197.169	487.348	742.634	77.942	361.670	940.328	1755.136	NaN	NaN	NaN	NaN	0.183	0.057	
nou.mat	"2-u-short-modal"	374.419	471.812	5.618	3.180	-4.201	-2.399	-13.876	4.581	13.380	2.438	7.382	8.017	19.494	1.038	-17.581	44.117	15.364	0.199	7.960	17.639	28.847	34.460	0.004	11.483	4.360	-6.327	13.185	-5.337	-22.807	-22.174	-30.736	7.123	10.687	-1.702	16.820	34.290	15.847	8.673	207.298	208.743	201.749	206.487	NaN	316.992	932.096	2707.873	3804.926	549.829	1849.123	3917.610	5135.457	NaN	NaN	NaN	NaN	93.032	326.216	372.334	789.706	436.387	929.982	1338.210	1199.103	NaN	NaN	NaN	NaN	0.202	0.041	
pe.mat	"0-e-short-modal"	153.845	295.016	16.647	19.773	10.284	2.495	-5.288	-7.219	-4.069	-3.126	9.489	14.152	21.935	23.866	14.352	15.757	16.565	3.732	3.768	13.542	19.580	22.818	0.270	20.426	22.069	5.919	21.747	-4.770	-6.742	-8.847	-19.825	-1.643	16.150	-1.321	25.196	27.168	14.767	10.841	218.053	220.519	225.440	219.744	NaN	526.040	2354.096	2925.748	4411.398	531.986	2500.618	3013.531	3475.859	NaN	NaN	NaN	NaN	191.320	404.265	381.388	698.666	67.408	735.372	856.115	5019.936	NaN	NaN	NaN	NaN	0.218	0.070	
peGe.mat	"1-e-short-glottal"	159.929	232.353	18.108	6.610	9.127	2.947	-3.343	-0.014	-6.792	11.498	-2.517	15.161	21.451	18.122	15.919	10.432	16.486	5.626	1.884	8.850	13.928	17.142	0.248	20.412	23.344	3.187	23.843	0.043	-1.117	-4.972	-17.224	-2.932	20.157	-3.431	20.369	21.529	8.159	12.362	245.989	204.984	258.981	262.471	NaN	531.414	2189.441	2868.362	4321.400	523.079	1984.267	2808.189	3978.277	NaN	NaN	NaN	NaN	70.934	305.573	211.476	778.267	66.429	948.774	364.984	1501.765	NaN	NaN	NaN	NaN	0.164	0.046	
peGe.mat	"2-e-short-glottal"	280.246	360.847	10.241	14.395	8.622	4.261	-0.971	-8.287	-0.318	-4.154	5.773	5.980	11.212	18.528	8.940	20.673	17.903	4.146	-2.185	4.880	10.454	12.955	0.108	10.512	15.528	14.318	28.738	2.364	3.989	-7.791	-20.991	-5.016	1.209	-18.226	8.148	6.522	22.110	12.942	93.432	269.471	277.896	238.503	NaN	547.434	2567.197	2924.137	4399.186	551.765	2308.462	2866.945	3868.812	NaN	NaN	NaN	NaN	53.364	409.793	247.052	702.518	40.668	946.876	182.837	2495.195	NaN	NaN	NaN	NaN	0.122	0.033	
peLpeL.mat	"1-e-long-modal"	122.913	235.711	18.013	6.123	12.656	4.349	0.753	1.081	-0.745	11.890	-6.533	13.664	17.260	16.932	13.401	15.908	19.112	5.943	8.332	14.193	19.666	21.978	0.368	20.695	24.803	5.002	24.815	1.620	2.070	-3.538	-16.653	-4.108	19.800	-4.120	19.075	18.625	8.540	13.064	257.865	259.949	262.238	259.871	NaN	509.346	2361.390	2949.120	4411.250	544.864	1989.941	2895.226	3539.158	NaN	NaN	NaN	NaN	102.867	589.830	167.199	818.014	93.156	1166.944	344.447	1867.005	NaN	NaN	NaN	NaN	0.254	0.078	
peLpeL.mat	"2-e-long-modal"	350.699	474.996	16.184	11.720	13.100	2.927	-2.860	1.365	-3.875	4.464	-1.380	13.257	19.044	14.819	16.975	16.641	16.440	4.747	-0.025	8.368	13.127	16.544	0.112	18.134	18.913	11.626	22.381	-1.568	-1.799	-6.070	-20.516	-0.779	7.286	-4.247	19.702	19.933	17.697	14.311	171.728	101.109	155.091	178.957	NaN	435.541	2216.911	2882.524	4375.487	518.524	2173.976	2863.345	3923.124	NaN	NaN	NaN	NaN	141.975	413.024	132.428	776.329	71.194	651.548	222.365	2328.451	NaN	NaN	NaN	NaN	0.176	0.069	
